GO.ID,Term,Annotated,Significant,Expected,pval,GO_aspect,involved_genes
GO:0006412,translation,75,18,9.6,0.0027,Biological Process,A0A376KJV0_A0A376KL33_A0A377D9W8_AAG54976.1_AAG56856.1_AAG58301.1_AAG58418.1_AAG58419.1_AAG58422.1_AAG58442.1_AAG58484.1_AAG58707.1_AAG59181.1_BAB35848.1_F3WDX7_P0A8L1_P0A8M3_W1F8U9
GO:0006418,tRNA aminoacylation for protein translation,22,7,2.82,0.0144,Biological Process,A0A376KL33_AAG54976.1_AAG56856.1_AAG58484.1_AAG58707.1_P0A8L1_P0A8M3
GO:0043038,amino acid activation,22,7,2.82,0.0144,Biological Process,A0A376KL33_AAG54976.1_AAG56856.1_AAG58484.1_AAG58707.1_P0A8L1_P0A8M3
GO:0043039,tRNA aminoacylation,22,7,2.82,0.0144,Biological Process,A0A376KL33_AAG54976.1_AAG56856.1_AAG58484.1_AAG58707.1_P0A8L1_P0A8M3
GO:0006399,tRNA metabolic process,23,7,2.95,0.0187,Biological Process,A0A376KL33_AAG54976.1_AAG56856.1_AAG58484.1_AAG58707.1_P0A8L1_P0A8M3
GO:0008610,lipid biosynthetic process,14,5,1.79,0.0235,Biological Process,A0A376MJ21_A0A3L0VZK2_AAG54483.1_AAG54487.1_AAG55841.1
GO:0034660,ncRNA metabolic process,24,7,3.07,0.0237,Biological Process,A0A376KL33_AAG54976.1_AAG56856.1_AAG58484.1_AAG58707.1_P0A8L1_P0A8M3
GO:0006629,lipid metabolic process,18,5,2.3,0.0668,Biological Process,A0A376MJ21_A0A3L0VZK2_AAG54483.1_AAG54487.1_AAG55841.1
GO:0019752,carboxylic acid metabolic process,88,16,11.27,0.0718,Biological Process,A0A2X1N347_A0A369EJJ6_A0A376KL33_A0A3L0VZK2_AAG54487.1_AAG54976.1_AAG55841.1_AAG56856.1_AAG58484.1_AAG58707.1_AAG59109.1_P0A8L1_P0A8M3_P0AC38_P76558_PXF68203.1
GO:0043436,oxoacid metabolic process,91,16,11.65,0.0934,Biological Process,A0A2X1N347_A0A369EJJ6_A0A376KL33_A0A3L0VZK2_AAG54487.1_AAG54976.1_AAG55841.1_AAG56856.1_AAG58484.1_AAG58707.1_AAG59109.1_P0A8L1_P0A8M3_P0AC38_P76558_PXF68203.1
GO:0043228,non-membrane-bounded organelle,49,10,6.48,0.081,Cellular Component,A0A376KJV0_A0A377D9W8_AAG56938.1_AAG58301.1_AAG58418.1_AAG58419.1_AAG58422.1_AAG58442.1_AAG59181.1_F3WDX7
GO:0043226,organelle,50,10,6.61,0.091,Cellular Component,A0A376KJV0_A0A377D9W8_AAG56938.1_AAG58301.1_AAG58418.1_AAG58419.1_AAG58422.1_AAG58442.1_AAG59181.1_F3WDX7
GO:0005524,ATP binding,53,13,6.7,0.0091,Molecular Function,A0A1X1LWI9_A0A376KL33_A0A377K9A2_AAG54976.1_AAG54993.1_AAG56856.1_AAG58484.1_AAG58707.1_AAG59109.1_P04079_P0A8L1_P0A8M3_P0AG30
GO:0016874,ligase activity,42,11,5.31,0.0100,Molecular Function,A0A376KL33_A0A376LTU2_A0A3L0VZK2_AAG54487.1_AAG54976.1_AAG56856.1_AAG58484.1_AAG58707.1_P04079_P0A8L1_P0A8M3
GO:0004812,aminoacyl-tRNA ligase activity,22,7,2.78,0.0136,Molecular Function,A0A376KL33_AAG54976.1_AAG56856.1_AAG58484.1_AAG58707.1_P0A8L1_P0A8M3
GO:0016875,"ligase activity, forming carbon-oxygen bonds",22,7,2.78,0.0136,Molecular Function,A0A376KL33_AAG54976.1_AAG56856.1_AAG58484.1_AAG58707.1_P0A8L1_P0A8M3
GO:0140101,"catalytic activity, acting on a tRNA",23,7,2.91,0.0176,Molecular Function,A0A376KL33_AAG54976.1_AAG56856.1_AAG58484.1_AAG58707.1_P0A8L1_P0A8M3
GO:0005198,structural molecule activity,47,10,5.94,0.0573,Molecular Function,A0A376KJV0_A0A377D9W8_AAG56938.1_AAG58301.1_AAG58418.1_AAG58419.1_AAG58422.1_AAG58442.1_AAG59181.1_F3WDX7
GO:0140098,"catalytic activity, acting on RNA",31,7,3.92,0.0818,Molecular Function,A0A376KL33_AAG54976.1_AAG56856.1_AAG58484.1_AAG58707.1_P0A8L1_P0A8M3
GO:0003735,structural constituent of ribosome,45,9,5.69,0.0980,Molecular Function,A0A376KJV0_A0A377D9W8_AAG58301.1_AAG58418.1_AAG58419.1_AAG58422.1_AAG58442.1_AAG59181.1_F3WDX7
