GO.ID,Term,Annotated,Significant,Expected,pval,GO_aspect,involved_genes
GO:0022607,cellular component assembly,13,11,5.47,0.0019,Biological Process,A0A3S4MXP9_AAG54975.1_AAG57643.1_AAG57644.1_AAG58515.1_AAG58756.1_BAB36707.1_BAB36816.1_ENO07364.1_KIQ48029.1_S0WRD1
GO:0044248,cellular catabolic process,17,12,7.15,0.0152,Biological Process,A0A2X1KW44_AAG54772.1_AAG56732.1_AAG57768.1_AAG58031.1_AAG58069.1_AAG59027.1_AAG59127.1_AAG59562.1_P05055_P0AB77_P0ABQ0
GO:1901565,organonitrogen compound catabolic process,10,8,4.21,0.0165,Biological Process,A0A2X1KW44_AAG56732.1_AAG57768.1_AAG58031.1_AAG58069.1_AAG59127.1_P0AB77_P0ABQ0
GO:0016053,organic acid biosynthetic process,26,16,10.94,0.0321,Biological Process,A0A2W6P998_A0A2X1KW44_A0A376TDD3_A0A377F6A1_A0A447XY57_AAG54437.1_AAG54568.1_AAG54732.1_AAG55837.1_AAG55839.1_AAG57533.1_AAG57665.1_AAG58754.1_AAG59059.1_EEC28047.1_P05791
GO:0015833,peptide transport,11,8,4.63,0.0386,Biological Process,A0A377CBN5_A0A3K3RC58_AAG55378.1_AAG58756.1_I6DL73_KIQ47473.1_P0A850_P10408
GO:0042886,amide transport,11,8,4.63,0.0386,Biological Process,A0A377CBN5_A0A3K3RC58_AAG55378.1_AAG58756.1_I6DL73_KIQ47473.1_P0A850_P10408
GO:0015031,protein transport,11,8,4.63,0.0386,Biological Process,A0A377CBN5_A0A3K3RC58_AAG55378.1_AAG58756.1_I6DL73_KIQ47473.1_P0A850_P10408
GO:0044255,cellular lipid metabolic process,15,10,6.31,0.0459,Biological Process,A0A2X1N8G2_A0A377F6A1_A0A447XY57_AAG55837.1_AAG55839.1_AAG57086.1_AAG59359.1_BAB36822.1_EEC28047.1_Q83IY3
GO:0071705,nitrogen compound transport,17,11,7.15,0.0479,Biological Process,A0A377CBN5_A0A3K3RC58_AAG55230.1_AAG55378.1_AAG55867.1_AAG58569.1_AAG58756.1_I6DL73_KIQ47473.1_P0A850_P10408
GO:0046394,carboxylic acid biosynthetic process,25,15,10.52,0.0498,Biological Process,A0A2W6P998_A0A2X1KW44_A0A376TDD3_A0A377F6A1_A0A447XY57_AAG54437.1_AAG54568.1_AAG54732.1_AAG55837.1_AAG55839.1_AAG57533.1_AAG57665.1_AAG58754.1_AAG59059.1_EEC28047.1
