GO.ID,Term,Annotated,Significant,Expected,pval,GO_aspect,involved_genes
GO:0006810,transport,47,16,9.29,0.0093,Biological Process,A0A080JFS1_A0A384LP76_AAG54402.1_AAG54454.1_AAG55076.1_AAG55242.1_AAG55414.1_AAG57350.1_AAG58174.1_AAG58688.1_AAG58756.1_AAG59170.1_AAG59234.1_BAB35166.2_EDU76780.1_P31554
GO:0071840,cellular component organization or biogenesis,11,5,2.17,0.0452,Biological Process,AAG54479.1_AAG54975.1_AAG55101.1_AAG58756.1_P31554
GO:0016787,hydrolase activity,53,19,10.78,0.0032,Molecular Function,A0A377C3N1_A0A377DME0_AAG54787.1_AAG54829.1_AAG55101.1_AAG55550.1_AAG56020.1_AAG57264.1_AAG57291.1_AAG58067.1_AAG58283.1_AAG59017.1_AAG59234.1_AAG59411.1_AAG59424.1_AAG59459.1_AAG59511.1_ACI39136.1_P04825
GO:0046872,metal ion binding,52,18,10.58,0.0067,Molecular Function,A0A0P7NDI9_A0A2X1Q8E9_A0A377DME0_A0A384LP76_AAG54430.1_AAG54454.1_AAG54782.1_AAG54829.1_AAG55253.1_AAG57341.1_AAG57524.1_AAG57572.1_AAG58067.1_AAG59411.1_AAG59424.1_AAG59459.1_ENO10771.1_P04825
GO:0046914,transition metal ion binding,23,9,4.68,0.0258,Molecular Function,A0A384LP76_AAG54430.1_AAG54454.1_AAG54782.1_AAG57341.1_AAG57524.1_AAG58067.1_AAG59459.1_P04825
GO:0008233,peptidase activity,13,6,2.64,0.0298,Molecular Function,AAG54787.1_AAG56020.1_AAG59459.1_AAG59511.1_ACI39136.1_P04825
GO:0140096,"catalytic activity, acting on a protein",15,6,3.05,0.0614,Molecular Function,AAG54787.1_AAG56020.1_AAG59459.1_AAG59511.1_ACI39136.1_P04825
GO:0030313,cell envelope,11,8,2.73,0.00075,Cellular Component,A0A376RMX1_A0A377E6N8_AAG55186.1_AAG55242.1_AAG56020.1_AAG58701.1_EFX07617.1_P31554
GO:0016020,membrane,53,26,13.17,0.00222,Cellular Component,A0A080JFS1_A0A0H2VZE3_A0A376RMX1_A0A377E6N8_AAG54402.1_AAG54454.1_AAG54479.1_AAG54782.1_AAG54975.1_AAG55186.1_AAG55242.1_AAG55414.1_AAG56020.1_AAG56771.1_AAG57350.1_AAG58174.1_AAG58688.1_AAG58701.1_AAG59017.1_AAG59170.1_AAG59234.1_BAB35166.2_EDU32563.1_EDU76780.1_EFX07617.1_P31554
GO:0031224,intrinsic component of membrane,18,9,4.47,0.01335,Cellular Component,A0A377E6N8_AAG54782.1_AAG55186.1_AAG56771.1_AAG58688.1_AAG58701.1_AAG59234.1_BAB35166.2_EFX07617.1
GO:0016021,integral component of membrane,18,9,4.47,0.01335,Cellular Component,A0A377E6N8_AAG54782.1_AAG55186.1_AAG56771.1_AAG58688.1_AAG58701.1_AAG59234.1_BAB35166.2_EFX07617.1
GO:0042597,periplasmic space,10,6,2.49,0.01608,Cellular Component,AAG55076.1_AAG55242.1_AAG56729.1_AAG57341.1_AAG58283.1_ACI37261.1
