accno,pval,lfc,description,psort_loc
A0A377BTD7,0.0039,0.76,Ketol-acid reductoisomerase OS=Escherichia coli OX=562 GN=ilvC_1 PE=3 SV=1 UPId=UP000254088 PPId=UP000000625,Cytoplasmic
A0A2S8EHG0,0.037,0.58,Cell division protein FtsP OS=Shigella flexneri OX=623 GN=sufI PE=3 SV=1 UPId=UP000001006 PPId=UP000000625,Periplasmic
AAG56472.1,0.0031,0.6,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]",Unknown
A0A376SEY5,0.0065,0.92,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Escherichia coli OX=562 GN=ribB_2 PE=4 SV=1 UPId=UP000254180 PPId=UP000000625",Cytoplasmic
AAG56270.1,0.0065,0.67,putative sulfatase [Escherichia coli O157:H7 str. EDL933],Unknown
A0A365Q3J9,0.0039,0.6,Cold-shock protein OS=Escherichia coli O111:NM OX=373045 GN=DQW49_23350 PE=4 SV=1 UPId=UP000252789 PPId=UP000000625,Cytoplasmic
A0A2W6P998,0.001,0.82,3-isopropylmalate dehydrogenase (Fragment) OS=Escherichia coli OX=562 GN=leuB PE=3 SV=1 UPId=UP000249482 PPId=UP000000625,Cytoplasmic
AAG56938.1,1e-4,1.01,"flagellar biosynthesis; flagellin, filament structural protein [Escherichia coli O157:H7 str. EDL933]",Extracellular
AAG58934.1,0.016,0.74,"membrane-bound ATP synthase, F1 sector, epsilon-subunit [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
AAG54430.1,1e-4,0.54,putative carbonic anhdrase [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
EZA70160.1,0.025,0.66,hypothetical protein BY40_13605 [Escherichia coli O157:H16 str. 98-3133],Extracellular
AAG55838.1,0.0065,0.59,malonyl-CoA-[acyl-carrier-protein] transacylase [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG57643.1,0.0039,0.67,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
AAG58705.1,0.01,0.53,"cold shock protein 7.4, transcriptional activator of hns [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
AAG58569.1,1e-4,0.63,high-affinity amino acid transport system; periplasmic binding protein [Escherichia coli O157:H7 str. EDL933],Periplasmic
A0A376W8P8,0.0092,0.51,Thioredoxin-dependent thiol peroxidase OS=Escherichia coli OX=562 GN=bcp PE=4 SV=1 UPId=UP000254716 PPId=UP000000625,Cytoplasmic
AAG55867.1,1e-4,0.81,spermidine/putrescine periplasmic transport protein [Escherichia coli O157:H7 str. EDL933],Periplasmic
A0A376T5E0,6.7e-4,-0.57,Putative NADPH-dependent FMN reductase OS=Escherichia coli OX=562 GN=azr PE=4 SV=1 UPId=UP000255260 PPId=UP000000625,Cytoplasmic
AAG58028.1,0.0039,0.73,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
AAG57276.1,1e-4,0.78,"putative 1,2-dioxygenase [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
AAG54787.1,0.0041,0.53,"ATP-dependent proteolytic subunit of clpA-clpP serine protease, heat shock protein F21.5 [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
AAG59414.1,3.5e-4,0.73,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]",Unknown
AAG54686.1,1e-4,0.52,cytosine deaminase [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG58484.1,2.8e-4,0.54,tryptophan tRNA synthetase [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG57543.1,0.016,0.5,thiosulfate binding protein [Escherichia coli O157:H7 str. EDL933],Periplasmic
AAG54392.1,3.5e-4,0.56,UDP-N-acetylmuramoylalanine-D-glutamate ligase [Escherichia coli O157:H7 str. EDL933],Unknown
A0A0K5Z365,0.01,-0.62,30S ribosomal protein S21 OS=Escherichia coli OX=562 GN=rpsU PE=3 SV=1 UPId=UP000044469 PPId=UP000000625,Cytoplasmic
AAG59197.1,1e-4,-0.57,DNA-binding protein HU-alpha (HU-2) [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
A0A3L4KP74,0.05,0.71,Transketolase OS=Escherichia coli OX=562 GN=tkt PE=3 SV=1 UPId=UP000281241 PPId=UP000000625,Cytoplasmic
A0A2B7LJY3,0.016,0.76,30S ribosomal protein S16 OS=Escherichia marmotae OX=1499973 GN=rpsP PE=3 SV=1 UPId=UP000254454 PPId=UP000000625,Cytoplasmic
A0A377F6A1,1e-4,0.66,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli OX=562 GN=fabA_2 PE=3 SV=1 UPId=UP000254255 PPId=UP000000625,Cytoplasmic
AAG58548.1,0.024,0.64,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
A0A1E2VHH7,0.0039,0.74,Uncharacterized protein OS=Shigella sp. FC2928 OX=1886517 GN=BFF50_23465 PE=4 SV=1 UPId=UP000095127 PPId=UP000000625,Unknown
A0A376VKF8,0.05,0.69,Anaerobic dimethyl sulfoxide reductase subunit B OS=Escherichia coli OX=562 GN=dmsB_3 PE=4 SV=1 UPId=UP000254495 PPId=UP000000625,Unknown
A0A2X1N8G2,3.5e-4,0.57,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase OS=Escherichia coli OX=562 GN=ispD_1 PE=3 SV=1 UPId=UP000250437 PPId=UP000000625,Cytoplasmic
AAG58418.1,0.0039,-0.82,30S ribosomal subunit protein S11 [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG55002.1,0.0054,0.76,glutamine tRNA synthetase [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG58422.1,1e-4,-0.51,50S ribosomal subunit protein L15 [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG58244.1,0.0039,-1.09,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]",Cytoplasmic
AAG56872.1,3.5e-4,1.08,chemotaxis regulator transmits chemoreceptor signals to flagelllar motor components [Escherichia coli O157:H7 str. EDL933],Cytoplasmic
AAG54985.1,0.0015,0.5,putative tRNA synthetase [Escherichia coli O157:H7 str. EDL933],Unknown
