accno,Protein names,Gene names,iBAQ 1,iBAQ 2,rel_iBAQ1,rel_iBAQ2,L2FC,psort_loc,description
ENO09477.1,Flagellar hook protein FlgE,flgE,1913500,3638300,0.0050259250016069104,0.0021883908905338855,1.1995186876046957,Extracellular,flagellar hook protein FlgE [Escherichia coli O157:H43 str. T22]
A0A377E955,Uncharacterized protein YjbR,ECCG_02679;yjbR,21817000,5337700,0.05730368735827435,0.0032105582432462197,4.157731899810008,Unknown,Putative cytoplasmic protein YjbR OS=Escherichia coli OX=562 GN=yjbR_3 PE=4 SV=1 UPId=UP000254088 PPId=UP000000625
A0A0H2VZE3,Outer membrane protein slp,slp,58814000,113460000,0.15447857488607725,0.06824473804798248,1.1786170424734528,OuterMembrane,Outer membrane protein induced after carbon starvation OS=Shigella flexneri OX=623 GN=slp PE=4 SV=1 UPId=UP000001006 PPId=UP000000625
W1F8U9,Peptide chain release factor 3,prfC,840330,0,0.0022071782370526967,0,Inf,Cytoplasmic,Peptide chain release factor 3 OS=Escherichia coli ISC7 OX=1432555 PE=3 SV=1 UPId=UP000019199 PPId=UP000000625
AAG59181.1,50S ribosomal protein L10,rplJ,363420000,766320000,0.9545448989202945,0.46093167337325874,1.050260151970147,Cytoplasmic,50S ribosomal subunit protein L10 [Escherichia coli O157:H7 str. EDL933]
A0A1E2VHH7,Uncharacterized protein YahO,yahO,30072000,28873000,0.078985950691572,0.017366740011099932,2.185269097842555,Unknown,Uncharacterized protein OS=Shigella sp. FC2928 OX=1886517 GN=BFF50_23465 PE=4 SV=1 UPId=UP000095127 PPId=UP000000625
A0A1X1LWI9,NA,NA,5894300,6778200,0.015481740129067997,0.004077000559111888,1.924987578005195,Cytoplasmic,Clp protease ClpC OS=Escherichia coli OX=562 GN=BHS87_07445 PE=3 SV=1 UPId=UP000193530 PPId=UP000000625
A0A228ZSI6,NA,NA,982810,371390,0.0025814106876557554,2.2338633230777554e-4,3.530546860576977,Cytoplasmic,"Actin, cytoplasmic 2 OS=Escherichia coli OX=562 GN=CDL37_28835 PE=4 SV=1 UPId=UP000214591 PPId=UP000000625"
A0A377CX22,RNA polymerase-binding transcription factor DksA,dksA,57555000,88388000,0.1511717342396058,0.05316425089533823,1.507660043782119,Cytoplasmic,RNA polymerase-binding transcription factor OS=Escherichia coli OX=562 GN=dksA_2 PE=4 SV=1 UPId=UP000254052 PPId=UP000000625
A0A2X1N347,5-methylthioadenosine/S-adenosylhomocysteine nucleosidase,mtnN,18493000,26654000,0.04857299767688351,0.016032039907728935,1.5991965199887768,Unknown,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli OX=562 GN=mtn_2 PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2Y0FM34,"NAD-dependent malic enzyme",maeA;Q609_ECAC02321G0001,447600,0,0.0011756488271331346,0,Inf,Cytoplasmic,Malate dehydrogenase OS=Escherichia coli OX=562 GN=maeA_1 PE=3 SV=1 UPId=UP000250883 PPId=UP000000625
A0A369EJJ6,NA,NA,74730000,78174000,0.19628292415473447,0.04702066060429211,2.0615679564407614,Periplasmic,L-asparaginase 2 (Fragment) OS=Escherichia coli OX=562 GN=ansB PE=4 SV=1 UPId=UP000252917 PPId=UP000000625
A0A376JUK3,UPF0381 protein YiiS,yiiS,36287000,68775000,0.09531002902185,0.041367282383659394,1.2041378469833146,Unknown,"Conserved protein, UPF0381 family OS=Escherichia coli OX=562 GN=yiiS PE=4 SV=1 UPId=UP000255201 PPId=UP000000625"
A0A376KJV0,30S ribosomal protein S12,rpsL,22374000,0,0.05876668198900079,0,Inf,Cytoplasmic,30S ribosomal protein S12 OS=Escherichia coli OX=562 GN=rpsL_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
A0A376KL33,Glycine--tRNA ligase alpha subunit,glyQ,1065400,1910300,0.0027983383834397713,0.00114902100381686,1.284165257717016,Cytoplasmic,Glycine tRNA synthetase OS=Escherichia coli OX=562 GN=glyQ_1 PE=4 SV=1 UPId=UP000255460 PPId=UP000000625
