accno,L2FC,diet,GOID,TERM,psort_loc,ONTOLOGY,description
ENO09477.1,1.1995186876046957,lactation,GO:0071973,bacterial-type flagellum-dependent cell motility,Extracellular,BP,flagellar hook protein FlgE [Escherichia coli O157:H43 str. T22]
A0A0H2VZE3,1.1786170424734528,lactation,GO:0019867,outer membrane,OuterMembrane,CC,Outer membrane protein induced after carbon starvation OS=Shigella flexneri OX=623 GN=slp PE=4 SV=1 UPId=UP000001006 PPId=UP000000625
W1F8U9,Inf,lactation,GO:0005525,GTP binding,Cytoplasmic,MF,Peptide chain release factor 3 OS=Escherichia coli ISC7 OX=1432555 PE=3 SV=1 UPId=UP000019199 PPId=UP000000625
W1F8U9,Inf,lactation,GO:0005737,cytoplasm,Cytoplasmic,CC,Peptide chain release factor 3 OS=Escherichia coli ISC7 OX=1432555 PE=3 SV=1 UPId=UP000019199 PPId=UP000000625
W1F8U9,Inf,lactation,GO:0006415,translational termination,Cytoplasmic,BP,Peptide chain release factor 3 OS=Escherichia coli ISC7 OX=1432555 PE=3 SV=1 UPId=UP000019199 PPId=UP000000625
W1F8U9,Inf,lactation,GO:0016149,"translation release factor activity, codon specific",Cytoplasmic,MF,Peptide chain release factor 3 OS=Escherichia coli ISC7 OX=1432555 PE=3 SV=1 UPId=UP000019199 PPId=UP000000625
W1F8U9,Inf,lactation,GO:0003924,GTPase activity,Cytoplasmic,MF,Peptide chain release factor 3 OS=Escherichia coli ISC7 OX=1432555 PE=3 SV=1 UPId=UP000019199 PPId=UP000000625
AAG59181.1,1.050260151970147,lactation,GO:0003735,structural constituent of ribosome,Cytoplasmic,MF,50S ribosomal subunit protein L10 [Escherichia coli O157:H7 str. EDL933]
AAG59181.1,1.050260151970147,lactation,GO:0005622,intracellular anatomical structure,Cytoplasmic,CC,50S ribosomal subunit protein L10 [Escherichia coli O157:H7 str. EDL933]
AAG59181.1,1.050260151970147,lactation,GO:0005840,ribosome,Cytoplasmic,CC,50S ribosomal subunit protein L10 [Escherichia coli O157:H7 str. EDL933]
AAG59181.1,1.050260151970147,lactation,GO:0006412,translation,Cytoplasmic,BP,50S ribosomal subunit protein L10 [Escherichia coli O157:H7 str. EDL933]
AAG59181.1,1.050260151970147,lactation,GO:0042254,ribosome biogenesis,Cytoplasmic,BP,50S ribosomal subunit protein L10 [Escherichia coli O157:H7 str. EDL933]
A0A1X1LWI9,1.924987578005195,lactation,GO:0005524,ATP binding,Cytoplasmic,MF,Clp protease ClpC OS=Escherichia coli OX=562 GN=BHS87_07445 PE=3 SV=1 UPId=UP000193530 PPId=UP000000625
A0A1X1LWI9,1.924987578005195,lactation,GO:0019538,protein metabolic process,Cytoplasmic,BP,Clp protease ClpC OS=Escherichia coli OX=562 GN=BHS87_07445 PE=3 SV=1 UPId=UP000193530 PPId=UP000000625
A0A2X1N347,1.5991965199887768,lactation,GO:0008782,adenosylhomocysteine nucleosidase activity,Unknown,MF,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli OX=562 GN=mtn_2 PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1N347,1.5991965199887768,lactation,GO:0008930,methylthioadenosine nucleosidase activity,Unknown,MF,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli OX=562 GN=mtn_2 PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1N347,1.5991965199887768,lactation,GO:0009164,nucleoside catabolic process,Unknown,BP,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli OX=562 GN=mtn_2 PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1N347,1.5991965199887768,lactation,GO:0019509,L-methionine salvage from methylthioadenosine,Unknown,BP,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli OX=562 GN=mtn_2 PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1N347,1.5991965199887768,lactation,GO:0003824,catalytic activity,Unknown,MF,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli OX=562 GN=mtn_2 PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1N347,1.5991965199887768,lactation,GO:0009116,nucleoside metabolic process,Unknown,BP,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli OX=562 GN=mtn_2 PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2Y0FM34,Inf,lactation,GO:0004471,malate dehydrogenase (decarboxylating) (NAD+) activity,Cytoplasmic,MF,Malate dehydrogenase OS=Escherichia coli OX=562 GN=maeA_1 PE=3 SV=1 UPId=UP000250883 PPId=UP000000625
A0A2Y0FM34,Inf,lactation,GO:0055114,NA,Cytoplasmic,NA,Malate dehydrogenase OS=Escherichia coli OX=562 GN=maeA_1 PE=3 SV=1 UPId=UP000250883 PPId=UP000000625
