accno,pval,lfc,condition,GOID,TERM,description
AAG56747.1,0.05,1.51,vivo,GO:0016639,"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor","NADP-specific glutamate dehydrogenase [Escherichia coli O157:H7 str. EDL933]"
AAG56747.1,0.05,1.51,vivo,GO:0055114,NA,"NADP-specific glutamate dehydrogenase [Escherichia coli O157:H7 str. EDL933]"
AAG56747.1,0.05,1.51,vivo,GO:0006520,cellular amino acid metabolic process,"NADP-specific glutamate dehydrogenase [Escherichia coli O157:H7 str. EDL933]"
AAG56747.1,0.05,1.51,vivo,GO:0016491,oxidoreductase activity,"NADP-specific glutamate dehydrogenase [Escherichia coli O157:H7 str. EDL933]"
AAG56747.1,0.05,1.51,vivo,GO:0004352,glutamate dehydrogenase (NAD+) activity,"NADP-specific glutamate dehydrogenase [Escherichia coli O157:H7 str. EDL933]"
A0A376LEQ2,0.05,1.57,vivo,GO:0005525,GTP binding,Putative lipopolysaccharide core biosynthesis GTP-binding protein OS=Escherichia coli OX=562 GN=typA_2 PE=4 SV=1 UPId=UP000254877 PPId=UP000000625
AAG54787.1,0.0039,1.42,vivo,GO:0004252,serine-type endopeptidase activity,"ATP-dependent proteolytic subunit of clpA-clpP serine protease, heat shock protein F21.5 [Escherichia coli O157:H7 str. EDL933]"
AAG54787.1,0.0039,1.42,vivo,GO:0006508,proteolysis,"ATP-dependent proteolytic subunit of clpA-clpP serine protease, heat shock protein F21.5 [Escherichia coli O157:H7 str. EDL933]"
AAG55805.1,0.05,1,vivo,GO:0016491,oxidoreductase activity,sarcosine oxidase-like protein [Escherichia coli O157:H7 str. EDL933]
AAG55805.1,0.05,1,vivo,GO:0055114,NA,sarcosine oxidase-like protein [Escherichia coli O157:H7 str. EDL933]
AAG55805.1,0.05,1,vivo,GO:0050131,N-methyl-L-amino-acid oxidase activity,sarcosine oxidase-like protein [Escherichia coli O157:H7 str. EDL933]
AAG55805.1,0.05,1,vivo,GO:0050660,flavin adenine dinucleotide binding,sarcosine oxidase-like protein [Escherichia coli O157:H7 str. EDL933]
AAG54309.1,0.05,0.71,vivo,GO:0006777,Mo-molybdopterin cofactor biosynthetic process,required for the efficient incorporation of molybdate into molybdoproteins [Escherichia coli O157:H7 str. EDL933]
AAG59116.1,0.05,-1.02,vitro,GO:0006950,response to stress,putative regulator [Escherichia coli O157:H7 str. EDL933]
AAG54402.1,0.05,1.03,vivo,GO:0016020,membrane,preprotein translocase; secretion protein [Escherichia coli O157:H7 str. EDL933]
AAG54402.1,0.05,1.03,vivo,GO:0017038,protein import,preprotein translocase; secretion protein [Escherichia coli O157:H7 str. EDL933]
